iter	Logloss
0	0.6640022445
1	0.6387466768
2	0.6161065764
3	0.5961651792
4	0.5790314679
5	0.5636043302
6	0.5495000459
7	0.5364389114
8	0.5255284055
9	0.5149058789
10	0.5060310873
11	0.4976369412
12	0.491663197
13	0.4847910851
14	0.4784074478
15	0.4729762919
16	0.4678739293
17	0.46373962
18	0.460588001
19	0.4572306712
20	0.4542943098
21	0.4513980833
22	0.4488072795
23	0.4468627645
24	0.4448013447
25	0.4428296585
26	0.4408661067
27	0.4393726816
28	0.4382792802
29	0.4369138294
30	0.4355894785
31	0.4340194383
32	0.432718291
33	0.4317593357
34	0.4307499531
35	0.4299500351
36	0.4292678937
37	0.4286093722
38	0.4277750818
39	0.4272395851
40	0.426541383
41	0.425814769
42	0.4252240566
43	0.4247424748
44	0.4241301989
45	0.4237676701
46	0.4232737468
47	0.4228351895
48	0.4224518488
49	0.4220590618
50	0.4218525054
51	0.4215377455
52	0.4211633433
53	0.4208340595
54	0.4205688787
55	0.4202901925
56	0.4200313169
57	0.4198078652
58	0.4195457988
59	0.4192457842
60	0.4190253022
61	0.418919974
62	0.418652357
63	0.4184655946
64	0.4182656518
65	0.4180965817
66	0.4179686183
67	0.4177727057
68	0.4175860935
69	0.4174409827
70	0.4172485304
71	0.4171031874
72	0.4169687575
73	0.4167681415
74	0.4166601289
75	0.4165404091
76	0.4164141399
77	0.4162662065
78	0.4161457979
79	0.4160007092
80	0.4157939916
81	0.4156494179
82	0.415600733
83	0.4154904754
84	0.4154217012
85	0.4153301422
86	0.4152126831
87	0.4150782323
88	0.4150310164
89	0.4149165892
90	0.4148528369
91	0.4147927463
92	0.4146665854
93	0.4145519897
94	0.4144362269
95	0.4143809201
96	0.41426184
97	0.4141742626
98	0.4141291127
99	0.4140505706
100	0.413950658
101	0.4137861651
102	0.4137014202
103	0.4136427054
104	0.4136306438
105	0.4135418593
106	0.4134552618
107	0.4133747794
108	0.413329003
109	0.4132526402
110	0.4131462903
111	0.4130349368
112	0.412929681
113	0.4128532575
114	0.4127979628
115	0.4127217297
116	0.4126452986
117	0.4126100207
118	0.412526923
119	0.4124691268
120	0.4123891813
121	0.4123126529
122	0.4122359296
123	0.412169662
124	0.4120857933
125	0.4120495164
126	0.4119961348
127	0.4119218096
128	0.4118467354
129	0.4117499697
130	0.4116969388
131	0.4116546632
132	0.4116040218
133	0.4115311597
134	0.4115242104
135	0.4114853776
136	0.4114211875
137	0.4113235755
138	0.4112547125
139	0.4112157679
140	0.411185034
141	0.4111405362
142	0.411097815
143	0.411057731
144	0.4110215949
145	0.410961407
146	0.4108756075
147	0.4108373273
148	0.4108026024
149	0.410758322
150	0.4107369278
151	0.4106819491
152	0.4106253674
153	0.4105728946
154	0.4105043974
155	0.4104840215
156	0.4104516228
157	0.4103613272
158	0.410332027
159	0.4103103741
160	0.4102645313
161	0.4102330118
162	0.4102018078
163	0.4101122924
164	0.4100299685
165	0.410014953
166	0.4099449494
167	0.4099185436
168	0.4098964241
169	0.4098648673
170	0.4098142693
171	0.4097639704
172	0.4097394309
173	0.4097129574
174	0.4096777199
175	0.4096197661
176	0.4095986052
177	0.409556098
178	0.4095534712
179	0.4095075964
180	0.4095011829
181	0.4094808714
182	0.4094493141
183	0.4094109761
184	0.4093935877
185	0.4093561977
186	0.4093470779
187	0.4093195816
188	0.4093101707
189	0.4092592478
190	0.4091908662
191	0.4091530521
192	0.4090930671
193	0.4090724188
194	0.4090532741
195	0.4090071493
196	0.4088877502
197	0.4088400425
198	0.4088235678
199	0.4088107992
200	0.4087860586
201	0.4087647041
202	0.408740122
203	0.4086859221
204	0.4086709494
205	0.4086046876
206	0.4085966301
207	0.4085438742
208	0.4085333727
209	0.4084666103
210	0.4084243663
211	0.4083688357
212	0.4082921609
213	0.4082241578
214	0.4081558282
215	0.4081341661
216	0.4080541105
217	0.4080524867
218	0.4080321203
219	0.4079667287
220	0.4079366544
221	0.4077867447
222	0.4077361036
223	0.4076925531
224	0.4076702985
225	0.4076343848
226	0.4076016716
227	0.407577409
228	0.4074778522
229	0.4074583717
230	0.4074464121
231	0.4073451988
232	0.407296675
233	0.4071720338
234	0.4071474826
235	0.4071118338
236	0.4070604176
237	0.4070179884
238	0.4069980801
239	0.4069819201
240	0.4068905177
241	0.4068535397
242	0.4067830456
243	0.4067473149
244	0.4067328122
245	0.4066914605
246	0.4066399249
247	0.4066386514
248	0.4065805759
249	0.4065025501
250	0.4064264913
251	0.4063854891
252	0.4063089802
253	0.4062821076
254	0.4062510619
255	0.4062169418
256	0.4062099778
257	0.406207696
258	0.4061553821
259	0.4061253583
260	0.4060942339
261	0.4060692117
262	0.4060653744
263	0.4060532366
264	0.4059615429
265	0.4059406866
266	0.4059046092
267	0.4058851649
268	0.4058748605
269	0.4058513155
270	0.4057806177
271	0.4057308753
272	0.4057244587
273	0.4057009123
274	0.4056498196
275	0.40562502
276	0.4055878186
277	0.405585931
278	0.4055664162
279	0.4055622441
280	0.4055231088
281	0.4055213801
282	0.4054402613
283	0.4053978321
284	0.4053959372
285	0.4052777919
286	0.4052321796
287	0.4051669782
288	0.4051014546
289	0.4051006121
290	0.4050195344
291	0.4049533466
292	0.4048774347
293	0.4048634551
294	0.4048449589
295	0.4048441236
296	0.4047821143
297	0.4047551844
298	0.4046934516
299	0.4046401725
300	0.4045768921
301	0.4045514788
302	0.4044653704
303	0.4043805878
304	0.404379063
305	0.4043655036
306	0.4043473722
307	0.4042725431
308	0.4042683041
309	0.4042226709
310	0.4041785733
311	0.4041660709
312	0.4041151119
313	0.4040759238
314	0.4039870643
315	0.4039728501
316	0.4039710006
317	0.4038912894
318	0.4038308603
319	0.4038291079
320	0.4037843062
321	0.4037171869
322	0.4036906119
323	0.4036808892
324	0.4036643009
325	0.4036430558
326	0.4035989105
327	0.4035977275
328	0.4035922721
329	0.4035829713
330	0.4035799832
331	0.4034858224
332	0.403471151
333	0.4033927464
334	0.403378696
335	0.4033611837
336	0.4033098475
337	0.4032697129
338	0.4032021068
339	0.4031770208
340	0.4031767911
341	0.4031568913
342	0.4031151955
343	0.4030862284
344	0.4030740012
345	0.4030537713
346	0.403036789
347	0.4030154982
348	0.4029752036
349	0.4029504782
350	0.4029456532
351	0.4028974475
352	0.4028816285
353	0.4028285539
354	0.4028057986
355	0.4027533811
356	0.4026927511
357	0.4026496072
358	0.4026342562
359	0.4026098359
360	0.4025773038
361	0.4025512853
362	0.4025299613
363	0.4024837612
364	0.402471913
365	0.4024530896
366	0.4024478874
367	0.4024310816
368	0.4023174766
369	0.4022340279
370	0.4022158407
371	0.4021798917
372	0.4021604147
373	0.4020903102
374	0.4020880728
375	0.4020842834
376	0.4020827179
377	0.4020810344
378	0.4020415501
379	0.401984221
380	0.4019839995
381	0.4019613947
382	0.401920214
383	0.401864706
384	0.4018314558
385	0.4017867073
386	0.4017149235
387	0.4016700663
388	0.4016390359
389	0.401637935
390	0.4015264457
391	0.4015165079
392	0.4014451155
393	0.4013427232
394	0.4013347864
395	0.4013302775
396	0.4013224024
397	0.4012470214
398	0.4012209564
399	0.4012031918
400	0.4011787167
401	0.4011630928
402	0.401145877
403	0.4011433038
404	0.4011216272
405	0.401014296
406	0.400985002
407	0.4008916648
408	0.4008748071
409	0.4008350613
410	0.400757447
411	0.4007273519
412	0.4006893911
413	0.4006771869
414	0.4006653488
415	0.4006503038
416	0.4006269401
417	0.4006261167
418	0.4005434907
419	0.4005292202
420	0.4004460136
421	0.4004317637
422	0.4004130597
423	0.4004071971
424	0.4003644741
425	0.4003322296
426	0.4002631232
427	0.4001844775
428	0.4001459972
429	0.4001251608
430	0.4001218399
431	0.4000822921
432	0.4000792426
433	0.40005253
434	0.3999915301
435	0.3999686626
436	0.3999499148
437	0.3999051515
438	0.3998773841
439	0.3998620465
440	0.3998439455
441	0.399763881
442	0.3997496024
443	0.3997448405
444	0.3997120326
445	0.3996738464
446	0.399658317
447	0.3996493511
448	0.3996449859
449	0.3996011007
450	0.3995657332
451	0.3995434525
452	0.3995177218
453	0.3994848724
454	0.3994690211
455	0.3994580047
456	0.3994507012
457	0.3994061018
458	0.3993817993
459	0.3993629737
460	0.3993174801
461	0.3992513182
462	0.3992388802
463	0.3992210729
464	0.3992126928
465	0.3992016308
466	0.3991056712
