iter	Logloss
467	0.3990889998
468	0.3990832403
469	0.3990298233
470	0.3990010342
471	0.3989939861
472	0.3989670996
473	0.3989218094
474	0.3988972012
475	0.3988884381
476	0.3988826667
477	0.3988387199
478	0.3988239992
479	0.3988131298
480	0.3987673268
481	0.3987222934
482	0.3987123347
483	0.3987090601
484	0.3986950273
485	0.3986664604
486	0.3986474192
487	0.398590399
488	0.3985621646
489	0.3985503613
490	0.3985104852
491	0.3984648509
492	0.3984616601
493	0.3984475569
494	0.3984401873
495	0.3983464703
496	0.398344393
497	0.3983079655
498	0.3982860164
499	0.3982726708
