iter	Passed	Remaining
402	15984	3847
403	16025	3807
404	16063	3768
405	16101	3727
406	16144	3689
407	16193	3651
408	16234	3612
409	16275	3572
410	16316	3533
411	16352	3492
412	16393	3453
413	16435	3414
414	16473	3374
415	16513	3334
416	16554	3295
417	16596	3255
418	16641	3217
419	16683	3177
420	16722	3137
421	16762	3098
422	16810	3059
423	16857	3021
424	16900	2982
425	16945	2943
426	16988	2904
427	17028	2864
428	17067	2824
429	17111	2785
430	17149	2745
431	17187	2705
432	17229	2665
433	17271	2626
434	17314	2587
435	17358	2548
436	17394	2507
437	17436	2468
438	17481	2429
439	17525	2389
440	17563	2349
441	17608	2310
442	17646	2270
443	17689	2231
444	17731	2191
445	17772	2151
446	17810	2111
447	17858	2072
448	17897	2032
449	17940	1993
450	17978	1953
451	18016	1913
452	18055	1873
453	18093	1833
454	18142	1794
455	18183	1754
456	18226	1715
457	18262	1674
458	18298	1634
459	18335	1594
460	18377	1554
461	18420	1515
462	18465	1475
463	18513	1436
464	18563	1397
465	18617	1358
466	18665	1318
467	18707	1279
468	18746	1239
469	18787	1199
470	18833	1159
471	18879	1119
472	18923	1080
473	18967	1040
474	19009	1000
475	19047	960
476	19092	920
477	19135	880
478	19179	840
479	19222	800
480	19265	760
481	19303	720
482	19348	681
483	19392	641
484	19436	601
485	19474	560
486	19518	521
487	19561	481
488	19606	441
489	19645	400
490	19684	360
491	19732	320
492	19772	280
493	19812	240
494	19855	200
495	19891	160
496	19936	120
497	19978	80
498	20024	40
499	20063	0
